time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,rss,doppler,label
1627918130,0c20b6,41.073349,-73.93029785,194.9192947,231.85976,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918130,1627918130,-85.6076739,588.045536,0
1627918140,0c20b6,41.0625,-73.94842529,194.8337373,231.6473414,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918140,1627918140,-85.60146311,827.5172429,0
1627918150,0c20b6,41.05139264,-73.96695224,195.1533669,231.5288968,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918150,1627918150,-85.60903527,774.0344191,0
1627918160,0c20b6,41.04091838,-73.98436806,195.1533669,231.5288968,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918160,1627918160,-85.63189935,790.3747783,0
1627918170,0c20b6,41.03541776,-74.00646259,195.2374286,251.7410199,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918169,1627918170,-85.74477132,-94.6297698,1
1627918180,0c20b6,41.02983051,-74.02902634,195.6416396,251.8343115,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918180,1627918180,-85.87440276,-112.2249999,1
1627918190,0c20b6,41.02425872,-74.05137012,195.9599513,251.7160504,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918190,1627918190,-86.00916515,49.08652353,1
1627918200,0c20b6,41.01871869,-74.07358469,195.9599513,251.7160504,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918200,1627918200,-86.13687638,69.26932645,1
1627918210,0c20b6,41.01336709,-74.09504224,195.9599513,251.7160504,0,CMP312  ,FALSE,FALSE,1364,10363.2,10675.62,1627918209,1627918210,-86.26939698,-139.570477,1
1627918220,0c20b6,41.00763384,-74.11786984,196.2790952,251.5981735,0,CMP312  ,FALSE,FALSE,1364,10363.2,10683.24,1627918220,1627918220,-86.43289751,148.5738273,1
1627918230,0c20b6,41.00213801,-74.13986979,196.682511,251.6912644,0,CMP312  ,FALSE,FALSE,1364,10363.2,10683.24,1627918230,1627918230,-86.60109052,158.9050136,1
1627918240,0c20b6,40.99657283,-74.16214535,196.682511,251.6912644,0,CMP312  ,FALSE,FALSE,1364,10363.2,10683.24,1627918240,1627918240,-86.78573034,-154.6779079,1
1627918250,0c20b6,40.99097532,-74.18439553,197.0018278,251.57386,0,CMP312  ,FALSE,FALSE,1364,10363.2,10683.24,1627918250,1627918250,-86.9946647,185.3168743,1
